year;month;day;hour;minute;MWC_1;MWC_2;MWC_3;MWC_4;MWC_5
2005;6;28;11;0;4.29217391304348;2.70224971878515;2.95456389452333;3.53557168784029;5.54109589041096
2005;6;29;11;0;4.39565217391304;2.8814398200225;3.12312373225152;3.70961887477314;5.54109589041096
2005;7;1;13;0;2.15478260869565;1.50629921259843;1.95496957403651;1.88566243194192;2.47214611872146
2005;7;4;13;0;1.1;1.00809898762655;1.173630831643;1.17713248638839;1.11826484018265
2005;7;6;10;0;1.11304347826087;0.976827896512936;0.982961460446248;1.08312159709619;1.02420091324201
2005;7;8;10;0;2.93478260869565;1.88548931383577;2.18884381338742;2.49437386569873;3.60639269406393
2005;7;11;10;0;1.11521739130435;0.982339707536558;0.992494929006085;1.14882032667877;1.07488584474886
2005;7;13;11;0;1.06086956521739;0.967379077615298;0.896754563894524;1.0529945553539;1.01369863013699
2005;7;15;12;0;1.21695652173913;0.99955005624297;0.949290060851927;1.13176043557169;1.1675799086758
2005;7;18;12;0;4.66521739130435;3.22384701912261;3.59026369168357;4.31125226860254;7.62557077625571
2005;7;20;11;0;3.92260869565217;2.64994375703037;3.06247464503043;3.50417422867514;4.8703196347032
2005;7;22;13;0;5.24608695652174;3.80281214848144;4.46896551724138;3.58548094373866;6.94200913242009
2005;7;25;11;0;7.1995652173913;3.83622047244095;4.92555780933063;5.8885662431942;8.75662100456621
2005;7;27;10;0;6.627;3.44240719910011;4.52657200811359;4.29963702359347;7.85479452054794
2005;7;29;12;0;4.70565217391304;2.49190101237345;3.58823529411765;3.49872958257713;5.98356164383562
2005;8;1;10;0;4.32608695652174;3.28233970753656;3.75050709939148;3.61161524500907;5.81278538812786
2005;8;3;9;0;4.30869565217391;3.2384701912261;3.85598377281947;3.76225045372051;5.57077625570777
2005;8;5;11;0;4.85217391304348;3.26996625421822;4.27383367139959;4.44827586206897;6.35616438356164
2005;8;8;10;0;4.83913043478261;3.06299212598425;4.32657200811359;4.13248638838476;5.98173515981735
2005;8;10;10;0;4.87826086956522;2.88413948256468;4.27180527383367;3.7967332123412;5.95433789954338
2005;8;12;13;0;6.98260869565217;4.06411698537683;5.51521298174442;6.43738656987296;9.3013698630137
2005;8;15;13;0;4.76521739130435;2.47806524184477;3.99594320486815;3.74228675136116;6.27853881278539
2005;8;17;11;0;5.77391304347826;3.14060742407199;4.64097363083164;4.69691470054447;7.10958904109589
2005;8;19;10;0;3.66521739130435;2.0281214848144;3.49290060851927;3.29582577132486;5.03196347031964
2005;8;22;10;0;4.85652173913043;2.59392575928009;4.26166328600406;3.76225045372051;6.17351598173516
2005;8;24;10;0;3.75217391304348;2.04836895388077;3.53752535496957;3.00362976406534;4.98630136986302
2005;8;26;13;0;2.75217391304348;1.63442069741282;2.86004056795132;2.44101633393829;3.64383561643836
2005;8;29;11;0;5.60869565217391;3.15073115860517;4.59837728194726;4.62250453720508;7.09132420091324
2005;8;31;0;0;4.32608695652174;2.22834645669291;3.93509127789047;3.92740471869329;6.03196347031963
2005;9;2;13;0;3.42608695652174;1.79415073115861;3.27383367139959;3.13067150635209;4.7351598173516
2005;9;7;13;0;2.26086956521739;1.36670416197975;2.50507099391481;2.20689655172414;2.62100456621005
2005;9;8;13;0;4.64347826086957;2.45894263217098;4.03651115618661;4.01996370235935;6.34703196347032
2005;9;20;0;0;4.70434782608696;2.2755905511811;4.25152129817444;4.04355716878403;6.41552511415525
2005;9;21;13;0;4.14347826086957;1.93588301462317;3.88438133874239;3.73139745916516;5.79452054794521
2005;9;22;11;0;3.80434782608696;1.81102362204724;3.72210953346856;3.44101633393829;5.40182648401827
2005;9;23;9;0;3.5695652173913;1.73003374578178;3.59229208924949;3.37386569872958;5.02739726027398
2005;10;6;12;0;3.46521739130435;1.75590551181102;3.51926977687627;3.33393829401089;5.03196347031964
2005;10;7;16;0;3.40869565217391;1.73228346456693;3.45436105476673;3.31941923774955;4.98630136986302
2005;10;10;0;0;3.00869565217391;1.5466816647919;3.18458417849899;2.98185117967332;4.30593607305936
2005;10;15;8;0;4.32608695652174;2.30596175478065;4.36105476673428;4.31397459165154;6.70776255707762
2005;10;19;0;0;3.66521739130435;1.69291338582677;3.70588235294118;3.54990925589837;5.7716894977169
2005;11;2;11;0;4.77826086956522;2.19347581552306;4.47667342799189;4.00362976406534;6.59360730593607
